#,Rain,Temperature,RH,Dew Point ,Wind Speed,Gust Speed ,Wind Direction,PLANTA,FRUTO,SEVERIDAD (%),incidencia
1,0,18.05,55.67,47.15,7.28,0.51,115.36,1,1,0,0
2,0,18.05,55.67,47.15,7.28,0.51,115.36,1,2,0,0
3,0,18.05,55.67,47.15,7.28,0.51,115.36,1,3,0,0
4,0,18.05,55.67,47.15,7.28,0.51,115.36,1,4,0,0
5,0,18.05,55.67,47.15,7.28,0.51,115.36,1,5,0,0
6,0,18.05,55.67,47.15,7.28,0.51,115.36,1,6,0,0
7,0,18.05,55.67,47.15,7.28,0.51,115.36,1,7,0,0
8,0,18.05,55.67,47.15,7.28,0.51,115.36,1,8,0,0
9,0,18.05,55.67,47.15,7.28,0.51,115.36,1,9,0,0
10,0,18.05,55.67,47.15,7.28,0.51,115.36,1,10,0,0
11,0,18.05,55.67,47.15,7.28,0.51,115.36,2,1,0,0
12,0,18.05,55.67,47.15,7.28,0.51,115.36,2,2,45,1
13,0,18.05,55.67,47.15,7.28,0.51,115.36,2,3,0,0
14,0,18.05,55.67,47.15,7.28,0.51,115.36,2,4,0,0
15,0,18.05,55.67,47.15,7.28,0.51,115.36,2,5,40,1
16,0,18.05,55.67,47.15,7.28,0.51,115.36,2,6,75,1
17,0,18.05,55.67,47.15,7.28,0.51,115.36,2,7,0,0
18,0,18.05,55.67,47.15,7.28,0.51,115.36,2,8,0,0
19,0,18.05,55.67,47.15,7.28,0.51,115.36,2,9,0,0
20,0,18.05,55.67,47.15,7.28,0.51,115.36,2,10,0,0
21,0,18.05,55.67,47.15,7.28,0.51,115.36,3,1,0,0
22,0,18.05,55.67,47.15,7.28,0.51,115.36,3,2,0,0
23,0,18.05,55.67,47.15,7.28,0.51,115.36,3,3,0,0
24,0,18.05,55.67,47.15,7.28,0.51,115.36,3,4,0,0
25,0,18.05,55.67,47.15,7.28,0.51,115.36,3,5,0,0
26,0,18.05,55.67,47.15,7.28,0.51,115.36,3,6,0,0
27,0,18.05,55.67,47.15,7.28,0.51,115.36,3,7,0,0
28,0,18.05,55.67,47.15,7.28,0.51,115.36,3,8,0,0
29,0,18.05,55.67,47.15,7.28,0.51,115.36,3,9,70,1
30,0,18.05,55.67,47.15,7.28,0.51,115.36,3,10,0,0
31,0,18.05,55.67,47.15,7.28,0.51,115.36,4,1,0,0
32,0,18.05,55.67,47.15,7.28,0.51,115.36,4,2,0,0
33,0,18.05,55.67,47.15,7.28,0.51,115.36,4,3,0,0
34,0,18.05,55.67,47.15,7.28,0.51,115.36,4,4,0,0
35,0,18.05,55.67,47.15,7.28,0.51,115.36,4,5,70,1
36,0,18.05,55.67,47.15,7.28,0.51,115.36,4,6,0,0
37,0,18.05,55.67,47.15,7.28,0.51,115.36,4,7,0,0
38,0,18.05,55.67,47.15,7.28,0.51,115.36,4,8,0,0
39,0,18.05,55.67,47.15,7.28,0.51,115.36,4,9,0,0
40,0,18.05,55.67,47.15,7.28,0.51,115.36,4,10,0,0
41,0,18.05,55.67,47.15,7.28,0.51,115.36,5,1,0,0
42,0,18.05,55.67,47.15,7.28,0.51,115.36,5,2,0,0
43,0,18.05,55.67,47.15,7.28,0.51,115.36,5,3,40,1
44,0,18.05,55.67,47.15,7.28,0.51,115.36,5,4,0,0
45,0,18.05,55.67,47.15,7.28,0.51,115.36,5,5,0,0
46,0,18.05,55.67,47.15,7.28,0.51,115.36,5,6,0,0
47,0,18.05,55.67,47.15,7.28,0.51,115.36,5,7,60,1
48,0,18.05,55.67,47.15,7.28,0.51,115.36,5,8,0,0
49,0,18.05,55.67,47.15,7.28,0.51,115.36,5,9,70,1
50,0,18.05,55.67,47.15,7.28,0.51,115.36,5,10,0,0
51,0,18.05,55.67,47.15,7.28,0.51,115.36,6,1,0,0
52,0,18.05,55.67,47.15,7.28,0.51,115.36,6,2,0,0
53,0,18.05,55.67,47.15,7.28,0.51,115.36,6,3,0,0
54,0,18.05,55.67,47.15,7.28,0.51,115.36,6,4,0,0
55,0,18.05,55.67,47.15,7.28,0.51,115.36,6,5,0,0
56,0,18.05,55.67,47.15,7.28,0.51,115.36,6,6,0,0
57,0,18.05,55.67,47.15,7.28,0.51,115.36,6,7,0,0
58,0,18.05,55.67,47.15,7.28,0.51,115.36,6,8,0,0
59,0,18.05,55.67,47.15,7.28,0.51,115.36,6,9,40,1
60,0,18.05,55.67,47.15,7.28,0.51,115.36,6,10,30,1
61,0,18.05,55.67,47.15,7.28,0.51,115.36,7,1,0,0
62,0,18.05,55.67,47.15,7.28,0.51,115.36,7,2,0,0
63,0,18.05,55.67,47.15,7.28,0.51,115.36,7,3,0,0
64,0,18.05,55.67,47.15,7.28,0.51,115.36,7,4,0,0
65,0,18.05,55.67,47.15,7.28,0.51,115.36,7,5,0,0
66,0,18.05,55.67,47.15,7.28,0.51,115.36,7,6,0,0
67,0,18.05,55.67,47.15,7.28,0.51,115.36,7,7,0,0
68,0,18.05,55.67,47.15,7.28,0.51,115.36,7,8,0,0
69,0,18.05,55.67,47.15,7.28,0.51,115.36,7,9,0,0
70,0,18.05,55.67,47.15,7.28,0.51,115.36,7,10,0,0
71,0,18.05,55.67,47.15,7.28,0.51,115.36,8,1,0,0
72,0,18.05,55.67,47.15,7.28,0.51,115.36,8,2,0,0
73,0,18.05,55.67,47.15,7.28,0.51,115.36,8,3,50,1
74,0,18.05,55.67,47.15,7.28,0.51,115.36,8,4,0,0
75,0,18.05,55.67,47.15,7.28,0.51,115.36,8,5,0,0
76,0,18.05,55.67,47.15,7.28,0.51,115.36,8,6,0,0
77,0,18.05,55.67,47.15,7.28,0.51,115.36,8,7,0,0
78,0,18.05,55.67,47.15,7.28,0.51,115.36,8,8,0,0
79,0,18.05,55.67,47.15,7.28,0.51,115.36,8,9,0,0
80,0,18.05,55.67,47.15,7.28,0.51,115.36,8,10,0,0
81,0,18.05,55.67,47.15,7.28,0.51,115.36,9,1,0,0
82,0,18.05,55.67,47.15,7.28,0.51,115.36,9,2,0,0
83,0,18.05,55.67,47.15,7.28,0.51,115.36,9,3,0,0
84,0,18.05,55.67,47.15,7.28,0.51,115.36,9,4,0,0
85,0,18.05,55.67,47.15,7.28,0.51,115.36,9,5,0,0
86,0,18.05,55.67,47.15,7.28,0.51,115.36,9,6,0,0
87,0,18.05,55.67,47.15,7.28,0.51,115.36,9,7,0,0
88,0,18.05,55.67,47.15,7.28,0.51,115.36,9,8,0,0
89,0,18.05,55.67,47.15,7.28,0.51,115.36,9,9,40,1
90,0,18.05,55.67,47.15,7.28,0.51,115.36,9,10,0,0
91,0,18.05,55.67,47.15,7.28,0.51,115.36,10,1,0,0
92,0,18.05,55.67,47.15,7.28,0.51,115.36,10,2,0,0
93,0,18.05,55.67,47.15,7.28,0.51,115.36,10,3,0,0
94,0,18.05,55.67,47.15,7.28,0.51,115.36,10,4,0,0
95,0,18.05,55.67,47.15,7.28,0.51,115.36,10,5,0,0
96,0,18.05,55.67,47.15,7.28,0.51,115.36,10,6,0,0
